Timestamp,Value,Result
1728538905.9209757,0,Forward
1728538905.9209757,0,Forward
1728538905.9209757,0,Forward
1728538905.9209757,0,Forward
1728538905.9209757,0,Forward
1728538905.9209757,0,Forward
1728538905.9209757,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9255116,0,Forward
1728538905.9354942,0,Forward
1728538905.936012,0,Forward
1728538905.936012,0,Forward
1728538905.936012,0,Forward
1728538905.936012,0,Forward
1728538905.936012,0,Forward
1728538905.936012,0,Forward
1728538905.936012,0,Forward
1728538905.936012,0,Forward
1728538905.936012,0,Forward
1728538905.936012,0,Forward
1728538905.936012,0,Forward
1728538905.936012,0,Forward
1728538905.936012,0,Forward
1728538905.936012,0,Forward
1728538905.936012,0,Forward
1728538905.936012,0,Forward
1728538905.936012,0,Forward
1728538905.936012,0,Forward
1728538905.936012,0,Forward
1728538905.936012,0,Forward
1728538905.936012,0,Forward
1728538905.936012,0,Forward
1728538905.936012,0,Forward
1728538905.936012,0,Forward
1728538905.936012,0,Forward
1728538905.936012,0,Forward
1728538905.936012,0,Forward
1728538905.936012,0,Forward
1728538905.936012,0,Forward
1728538905.936012,0,Forward
1728538905.936012,0,Forward
1728538905.936012,0,Forward
1728538905.9455168,0,Forward
1728538905.9455168,0,Forward
1728538905.9455168,0,Forward
1728538905.9455168,0,Forward
1728538905.9455168,0,Forward
1728538905.9455168,0,Forward
1728538905.9455168,0,Forward
1728538905.9455168,0,Forward
1728538905.9455168,0,Forward
1728538905.9455168,0,Forward
1728538905.9455168,0,Forward
1728538905.9455168,0,Forward
1728538905.9455168,0,Forward
1728538905.9455168,0,Forward
1728538905.9455168,0,Forward
1728538905.9494486,0,Forward
1728538905.9494486,0,Forward
1728538905.9494486,0,Forward
1728538905.9494486,0,Forward
1728538905.9494486,0,Forward
1728538905.9494486,0,Forward
1728538905.9494486,0,Forward
1728538905.9494486,0,Forward
1728538905.9494486,0,Forward
1728538905.9494486,0,Forward
1728538905.9494486,0,Forward
1728538905.9494486,0,Forward
1728538905.9494486,0,Forward
1728538905.9494486,0,Forward
1728538905.9494486,0,Forward
1728538905.9521658,0,Forward
1728538905.9521658,0,Forward
1728538905.9521658,0,Forward
1728538905.9527068,0,Forward
1728538905.9527068,0,Forward
1728538905.9527068,0,Forward
1728538905.9527068,0,Forward
1728538905.9527068,0,Forward
1728538905.9527068,0,Forward
1728538905.9527068,0,Forward
1728538905.9527068,0,Forward
1728538905.9527068,0,Forward
1728538905.9527068,0,Forward
1728538905.9527068,0,Forward
1728538905.954374,0,Forward
1728538905.954374,0,Forward
1728538905.954374,0,Forward
1728538905.954374,0,Forward
1728538905.954374,0,Forward
1728538905.954374,0,Forward
1728538905.954374,0,Forward
1728538905.954374,0,Forward
1728538905.954374,0,Forward
1728538905.954374,0,Forward
1728538905.954374,0,Forward
1728538905.9558785,0,Forward
1728538905.9558785,0,Forward
1728538905.9558785,0,Forward
1728538905.9558785,0,Forward
1728538905.9558785,0,Forward
1728538905.9558785,0,Forward
1728538905.9558785,0,Forward
1728538905.9558785,0,Forward
1728538905.9558785,0,Forward
1728538905.9558785,0,Forward
1728538905.9558785,0,Forward
1728538905.95761,0,Forward
1728538905.95761,0,Forward
1728538905.95761,0,Forward
1728538905.95761,0,Forward
1728538905.95761,0,Forward
1728538905.95761,0,Forward
1728538905.95761,0,Forward
1728538905.95761,0,Forward
1728538905.95761,0,Forward
1728538905.95761,0,Forward
1728538905.95761,0,Forward
1728538905.95761,0,Forward
1728538905.95761,0,Forward
1728538905.95761,0,Forward
1728538905.95761,0,Forward
